FFFF FFFF FFFF FFFF FFFF FFFF#1635662792560965#-62.0#3.5465635815916023#1
0000 0023 2000 0000 0000 0000#1635662792811672#-43.0#1.8100973297050567#1
0000 0029 2000 0000 0000 0000#1635662792812740#-45.5#2.3193789512830896#1
0000 0027 2000 0000 0000 0000#1635662792813846#-41.5#1.6137477888556946#1
0000 002A 2000 0000 0000 0000#1635662792815028#-48.5#2.4605051837685683#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792816336#-62.5#3.3747577333484107#1
0000 001F 2000 0000 0000 0000#1635662792821932#-45.0#3.5711072741977725#1
0000 002B 2000 0000 0000 0000#1635662792823071#-49.5#3.11091303783208#1
0000 0029 2000 0000 0000 0000#1635662792824623#-45.5#2.2948352586769194#1
0000 0026 2000 0000 0000 0000#1635662792825734#-36.5#1.3744467859455345#1
0000 002A 2000 0000 0000 0000#1635662792827765#-48.5#2.454369260617026#1
0000 0028 2000 0000 0000 0000#1635662792829003#-43.0#2.1353012567368124#1
0000 0020 2000 0000 0000 0000#1635662792830582#-41.0#2.60776733940559#1
0000 002C 2000 0000 0000 0000#1635662792833152#-50.5#3.5342917352885173#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792834259#-62.5#3.5158839658338894#1
0000 001E 2000 0000 0000 0000#1635662792835344#-48.5#4.196971435655114#1
0000 0023 2000 0000 0000 0000#1635662792839444#-43.0#1.8039614065535141#1
0000 0025 2000 0000 0000 0000#1635662792841899#-40.0#1.7241944055834606#1
0000 0027 2000 0000 0000 0000#1635662792846156#-41.5#1.6137477888556946#1
0000 0022 2000 0000 0000 0000#1635662792847273#-42.5#2.6875343403756435#1
0000 0024 2000 0000 0000 0000#1635662792848343#-40.5#1.6873788666742053#1
0000 0021 2000 0000 0000 0000#1635662792849421#-41.0#2.564815877344792#1
0000 0027 2000 0000 0000 0000#1635662792855126#-41.5#1.6198837120072371#1
0000 0028 2000 0000 0000 0000#1635662792856222#-42.5#2.141437179888355#1
0000 0026 2000 0000 0000 0000#1635662792857788#-36.5#1.368310862793992#1
0000 0022 2000 0000 0000 0000#1635662792859347#-42.5#2.6813984172241008#1
0000 002B 2000 0000 0000 0000#1635662792862034#-49.5#3.147728576741336#1
0000 0023 2000 0000 0000 0000#1635662792863106#-43.0#1.8162332528565992#1
0000 0024 2000 0000 0000 0000#1635662792864389#-41.0#1.6873788666742053#1
0000 0029 2000 0000 0000 0000#1635662792865713#-45.5#2.3071071049800045#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792866991#-62.0#3.485204350076177#1
0000 0025 2000 0000 0000 0000#1635662792869530#-40.0#1.7119225592803755#1
0000 0021 2000 0000 0000 0000#1635662792870594#-41.0#2.564815877344792#1
0000 0020 2000 0000 0000 0000#1635662792871674#-41.0#2.6200391857086753#1
0000 001E 2000 0000 0000 0000#1635662792873270#-48.5#4.166291819897402#1
0000 002C 2000 0000 0000 0000#1635662792875869#-50.0#3.552699504743145#1
0000 001F 2000 0000 0000 0000#1635662792878641#-45.0#3.5711072741977725#1
0000 002A 2000 0000 0000 0000#1635662792879919#-48.5#2.4727770300716534#1
0000 002C 2000 0000 0000 0000#1635662792885040#-50.0#3.5772431973493153#1
0000 0023 2000 0000 0000 0000#1635662792886142#-43.0#1.8162332528565992#1
0000 0026 2000 0000 0000 0000#1635662792888448#-36.5#1.368310862793992#1
0000 002A 2000 0000 0000 0000#1635662792889747#-48.0#2.442097414313941#1
0000 001E 2000 0000 0000 0000#1635662792890787#-48.5#4.172427743048944#1
0000 0024 2000 0000 0000 0000#1635662792891796#-41.0#1.705786636128833#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792893378#-62.5#3.4177091954092087#1
0000 001F 2000 0000 0000 0000#1635662792895445#-44.5#3.5895150436524004#1
0000 0022 2000 0000 0000 0000#1635662792896534#-42.5#2.6875343403756435#1
0000 0020 2000 0000 0000 0000#1635662792898994#-41.0#2.6200391857086753#1
0000 0027 2000 0000 0000 0000#1635662792900087#-41.5#1.6198837120072371#1
0000 002B 2000 0000 0000 0000#1635662792901128#-49.5#3.1231848841351653#1
0000 0021 2000 0000 0000 0000#1635662792902463#-41.0#2.5770877236478773#1
0000 0025 2000 0000 0000 0000#1635662792905301#-40.0#1.718058482431918#1
0000 0029 2000 0000 0000 0000#1635662792906354#-45.5#2.3009711818284617#1
0000 0028 2000 0000 0000 0000#1635662792907663#-43.0#2.1353012567368124#1
0000 0021 2000 0000 0000 0000#1635662792913476#-41.0#2.564815877344792#1
0000 0024 2000 0000 0000 0000#1635662792914504#-41.0#1.705786636128833#1
0000 001F 2000 0000 0000 0000#1635662792916047#-45.0#3.5895150436524004#1
0000 0022 2000 0000 0000 0000#1635662792917321#-42.5#2.6875343403756435#1
0000 0028 2000 0000 0000 0000#1635662792918856#-43.0#2.141437179888355#1
0000 002A 2000 0000 0000 0000#1635662792919903#-48.5#2.478912953223196#1
0000 002B 2000 0000 0000 0000#1635662792920960#-49.5#3.1231848841351653#1
0000 0023 2000 0000 0000 0000#1635662792923660#-43.0#1.8100973297050567#1
0000 0026 2000 0000 0000 0000#1635662792925255#-36.5#1.368310862793992#1
0000 0029 2000 0000 0000 0000#1635662792926778#-45.5#2.325514874434632#1
0000 002C 2000 0000 0000 0000#1635662792927804#-50.5#3.56497135104623#1
0000 0027 2000 0000 0000 0000#1635662792929308#-41.5#1.6014759425526093#1
0000 0020 2000 0000 0000 0000#1635662792930632#-41.0#2.60776733940559#1
0000 001E 2000 0000 0000 0000#1635662792931687#-48.5#4.184699589352029#1
0000 0025 2000 0000 0000 0000#1635662792932970#-40.0#1.7241944055834606#1
3008 33B2 DDD9 0140 2018 0626#1635662792934020#-58.0#6.019340611663256#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792939172#-62.5#3.5158839658338894#1
0000 0020 2000 0000 0000 0000#1635662792943661#-41.0#2.6261751088602177#1
0000 0027 2000 0000 0000 0000#1635662792944711#-42.0#1.6137477888556946#1
0000 0021 2000 0000 0000 0000#1635662792945746#-41.0#2.5709518004963345#1
0000 0029 2000 0000 0000 0000#1635662792948279#-45.5#2.313243028131547#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792949626#-62.5#3.423845118560751#1
0000 0026 2000 0000 0000 0000#1635662792951183#-36.5#1.3621749396424494#1
0000 0024 2000 0000 0000 0000#1635662792952949#-40.5#1.6996507129772904#1
0000 0022 2000 0000 0000 0000#1635662792957438#-42.5#2.6875343403756435#1
0000 002C 2000 0000 0000 0000#1635662792958794#-50.0#3.56497135104623#1
0000 0025 2000 0000 0000 0000#1635662792959923#-40.0#1.7303303287350031#1
0000 0023 2000 0000 0000 0000#1635662792961279#-43.5#1.8162332528565992#1
0000 002B 2000 0000 0000 0000#1635662792962390#-49.5#3.1231848841351653#1
0000 001F 2000 0000 0000 0000#1635662792963591#-45.0#3.5956509668039427#1
0000 002A 2000 0000 0000 0000#1635662792965815#-48.0#2.442097414313941#1
0000 0028 2000 0000 0000 0000#1635662792966881#-43.0#2.141437179888355#1
0000 001E 2000 0000 0000 0000#1635662792968803#-49.0#4.2031073588066565#1
0000 0022 2000 0000 0000 0000#1635662792975917#-42.5#2.705942109830271#1
0000 001F 2000 0000 0000 0000#1635662792977021#-45.0#3.56497135104623#1
0000 0028 2000 0000 0000 0000#1635662792978259#-43.0#2.1475731030398975#1
0000 0026 2000 0000 0000 0000#1635662792979284#-36.5#1.3744467859455345#1
0000 002B 2000 0000 0000 0000#1635662792980324#-49.5#3.098641191528995#1
0000 0020 2000 0000 0000 0000#1635662792982143#-41.0#2.6139032625571326#1
0000 0023 2000 0000 0000 0000#1635662792983201#-43.0#1.8223691760081417#1
0000 001E 2000 0000 0000 0000#1635662792984269#-48.5#4.184699589352029#1
0000 002A 2000 0000 0000 0000#1635662792985377#-48.0#2.466641106920111#1
0000 0024 2000 0000 0000 0000#1635662792986632#-41.0#1.6935147898257479#1
0000 0025 2000 0000 0000 0000#1635662792987831#-40.0#1.7303303287350031#1
0000 0027 2000 0000 0000 0000#1635662792989152#-41.5#1.607611865704152#1
0000 0021 2000 0000 0000 0000#1635662792990202#-41.0#2.5586799541932495#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792992376#-63.0#3.5465635815916023#1
0000 0029 2000 0000 0000 0000#1635662792993500#-45.5#2.3009711818284617#1
0000 002C 2000 0000 0000 0000#1635662792995668#-50.5#3.5772431973493153#1
0000 0029 2000 0000 0000 0000#1635662793000629#-45.5#2.3071071049800045#1
0000 002A 2000 0000 0000 0000#1635662793001708#-48.0#2.466641106920111#1
0000 002C 2000 0000 0000 0000#1635662793003061#-50.5#3.5588354278946874#1
0000 0021 2000 0000 0000 0000#1635662793004339#-41.0#2.5709518004963345#1
0000 0023 2000 0000 0000 0000#1635662793005909#-43.0#1.8223691760081417#1
0000 0026 2000 0000 0000 0000#1635662793007461#-36.5#1.3744467859455345#1
0000 0025 2000 0000 0000 0000#1635662793010580#-40.0#1.718058482431918#1
0000 0027 2000 0000 0000 0000#1635662793012364#-41.5#1.6260196351587797#1
0000 002B 2000 0000 0000 0000#1635662793014443#-49.5#3.117048960983623#1
0000 0028 2000 0000 0000 0000#1635662793015995#-42.5#2.1537090261914402#1
0000 001E 2000 0000 0000 0000#1635662793017477#-48.5#4.184699589352029#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662793018572#-62.5#3.522019888985432#1
0000 0024 2000 0000 0000 0000#1635662793019826#-41.0#1.6996507129772904#1
0000 001F 2000 0000 0000 0000#1635662793020858#-45.0#3.5833791205008576#1
0000 0020 2000 0000 0000 0000#1635662793022209#-41.0#2.6323110320117604#1
0000 0022 2000 0000 0000 0000#1635662793023481#-42.5#2.693670263527186#1
0000 0021 2000 0000 0000 0000#1635662793031507#-41.0#2.552544031041707#1
0000 001E 2000 0000 0000 0000#1635662793032825#-49.0#4.2031073588066565#1
0000 0024 2000 0000 0000 0000#1635662793033894#-41.0#1.6996507129772904#1
0000 0023 2000 0000 0000 0000#1635662793035266#-43.5#1.8039614065535141#1
0000 0027 2000 0000 0000 0000#1635662793036385#-42.0#1.6198837120072371#1
0000 0025 2000 0000 0000 0000#1635662793037446#-40.0#1.718058482431918#1
0000 0020 2000 0000 0000 0000#1635662793038539#-41.0#2.6323110320117604#1
0000 002C 2000 0000 0000 0000#1635662793039806#-50.5#3.5465635815916023#1
0000 0029 2000 0000 0000 0000#1635662793041073#-45.5#2.3009711818284617#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662793045028#-62.5#3.5036121195308043#1
0000 002B 2000 0000 0000 0000#1635662793046025#-49.5#3.104777114680538#1
0000 0028 2000 0000 0000 0000#1635662793047078#-43.0#2.1598449493429825#1
0000 0026 2000 0000 0000 0000#1635662793048160#-36.5#1.3744467859455345#1
0000 002A 2000 0000 0000 0000#1635662793053182#-48.5#2.466641106920111#1
0000 0022 2000 0000 0000 0000#1635662793054227#-42.5#2.6813984172241008#1
0000 001F 2000 0000 0000 0000#1635662793055287#-44.5#3.5895150436524004#1
0000 0020 2000 0000 0000 0000#1635662793062479#-41.5#2.6445828783148455#1
0000 001F 2000 0000 0000 0000#1635662793063794#-44.5#3.5956509668039427#1
0000 0029 2000 0000 0000 0000#1635662793065432#-45.5#2.313243028131547#1
0000 0026 2000 0000 0000 0000#1635662793067666#-36.5#1.3621749396424494#1
0000 0027 2000 0000 0000 0000#1635662793068759#-41.5#1.6198837120072371#1
0000 002A 2000 0000 0000 0000#1635662793071942#-48.0#2.454369260617026#1
0000 0023 2000 0000 0000 0000#1635662793073015#-43.0#1.8285050991596843#1
0000 002C 2000 0000 0000 0000#1635662793074851#-50.0#3.5711072741977725#1
0000 0024 2000 0000 0000 0000#1635662793075920#-41.0#1.6996507129772904#1
0000 0022 2000 0000 0000 0000#1635662793077010#-42.5#2.6875343403756435#1
0000 001E 2000 0000 0000 0000#1635662793078064#-49.0#4.196971435655114#1
0000 0025 2000 0000 0000 0000#1635662793079163#-40.0#1.7303303287350031#1
0000 002B 2000 0000 0000 0000#1635662793080217#-49.5#3.11091303783208#1
0000 0028 2000 0000 0000 0000#1635662793081498#-43.0#2.141437179888355#1
0000 0021 2000 0000 0000 0000#1635662793083645#-41.0#2.5770877236478773#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662793085282#-62.5#3.54042765844006#1
0000 002B 2000 0000 0000 0000#1635662793092286#-49.5#3.104777114680538#1
0000 0024 2000 0000 0000 0000#1635662793093367#-41.0#1.7119225592803755#1
0000 001F 2000 0000 0000 0000#1635662793095780#-45.0#3.5772431973493153#1
0000 0022 2000 0000 0000 0000#1635662793097732#-42.5#2.705942109830271#1
0000 0026 2000 0000 0000 0000#1635662793098757#-36.5#1.3744467859455345#1
0000 0027 2000 0000 0000 0000#1635662793100055#-41.5#1.6198837120072371#1
0000 0025 2000 0000 0000 0000#1635662793101098#-40.0#1.718058482431918#1
0000 0021 2000 0000 0000 0000#1635662793102161#-41.0#2.5832236467994196#1
0000 0028 2000 0000 0000 0000#1635662793103329#-43.0#2.1537090261914402#1
0000 002C 2000 0000 0000 0000#1635662793104339#-50.0#3.5588354278946874#1
0000 0020 2000 0000 0000 0000#1635662793105632#-41.0#2.6200391857086753#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662793106940#-62.5#3.54042765844006#1
0000 001E 2000 0000 0000 0000#1635662793108247#-49.0#4.190835512503572#1
0000 0029 2000 0000 0000 0000#1635662793109317#-45.5#2.313243028131547#1
0000 0023 2000 0000 0000 0000#1635662793112334#-43.0#1.8100973297050567#1
0000 002A 2000 0000 0000 0000#1635662793115351#-48.0#2.466641106920111#1
0000 002A 2000 0000 0000 0000#1635662793121092#-48.5#2.4605051837685683#1
0000 0025 2000 0000 0000 0000#1635662793122554#-40.0#1.736466251886546#1
0000 002C 2000 0000 0000 0000#1635662793124433#-50.0#3.56497135104623#1
0000 0028 2000 0000 0000 0000#1635662793126719#-42.5#2.1475731030398975#1
0000 001F 2000 0000 0000 0000#1635662793127821#-44.5#3.5833791205008576#1
0000 0023 2000 0000 0000 0000#1635662793129385#-43.0#1.8162332528565992#1
0000 002B 2000 0000 0000 0000#1635662793130724#-49.5#3.11091303783208#1
0000 0022 2000 0000 0000 0000#1635662793131755#-42.5#2.7120780329818137#1
0000 0021 2000 0000 0000 0000#1635662793134135#-41.0#2.5586799541932495#1
0000 0027 2000 0000 0000 0000#1635662793135228#-41.5#1.6137477888556946#1
0000 0026 2000 0000 0000 0000#1635662793136298#-36.5#1.3744467859455345#1
0000 0024 2000 0000 0000 0000#1635662793138493#-41.0#1.6935147898257479#1
0000 0020 2000 0000 0000 0000#1635662793139572#-41.0#2.6261751088602177#1
0000 0029 2000 0000 0000 0000#1635662793140640#-45.5#2.3071071049800045#1
0000 001E 2000 0000 0000 0000#1635662793142192#-49.0#4.184699589352029#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662793144467#-63.0#3.5772431973493153#1
0000 0028 2000 0000 0000 0000#1635662793148096#-43.0#2.1475731030398975#1
0000 0025 2000 0000 0000 0000#1635662793151275#-40.5#1.7241944055834606#1
0000 0021 2000 0000 0000 0000#1635662793152395#-41.0#2.5770877236478773#1
0000 0026 2000 0000 0000 0000#1635662793153464#-36.5#1.3744467859455345#1
0000 002A 2000 0000 0000 0000#1635662793155083#-48.0#2.4605051837685683#1
0000 002C 2000 0000 0000 0000#1635662793156634#-50.0#3.5711072741977725#1
0000 0029 2000 0000 0000 0000#1635662793157930#-45.5#2.325514874434632#1
0000 0024 2000 0000 0000 0000#1635662793159485#-41.0#1.6996507129772904#1
0000 0027 2000 0000 0000 0000#1635662793160577#-41.5#1.6321555583103222#1
0000 0023 2000 0000 0000 0000#1635662793162877#-43.0#1.8223691760081417#1
0000 0020 2000 0000 0000 0000#1635662793164710#-41.0#2.6261751088602177#1
0000 002B 2000 0000 0000 0000#1635662793165948#-49.5#3.104777114680538#1
0000 001F 2000 0000 0000 0000#1635662793167008#-45.0#3.5833791205008576#1
