方形标签叠放实验， 拟合出错误顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
E200 001B 2014 0195 1580 B13D#1624777723890795#-65.5#6.12365130523948#1
0000 0005 0000 0000 0000 0000#1624777723893087#-50.5#1.8530487917658545#1
0000 0002 0000 0000 0000 0000#1624777723894643#-50.0#5.730952223540755#1
0000 0003 0000 0000 0000 0000#1624777723895717#-59.0#6.2463697682703305#1
0000 0006 0000 0000 0000 0000#1624777723896870#-47.0#0.2638446955163303#1
E200 001B 2014 0200 1580 ACEC#1624777723898087#-67.5#5.411884219660542#1
0000 0004 0000 0000 0000 0000#1624777723899671#-56.5#1.576932249946439#1
0000 0006 0000 0000 0000 0000#1624777724164130#-47.5#6.178874613603362#1
0000 0004 0000 0000 0000 0000#1624777724165764#-56.5#1.214912784005428#1
0000 0007 0000 0000 0000 0000#1624777724175645#-40.0#4.031301510563465#1
0000 0001 0000 0000 0000 0000#1624777724177400#-52.5#5.663457068873787#1
E200 001B 2014 0164 1580 8A56#1624777724178720#-66.5#5.21553467881118#1
0000 0002 0000 0000 0000 0000#1624777724180303#-49.0#5.129631754689584#1
0000 0005 0000 0000 0000 0000#1624777724181418#-50.5#1.1474176293384597#1
E200 001B 2014 0195 1580 B13D#1624777724182819#-63.5#5.019185137961818#1
E200 001B 2014 0200 1580 ACEC#1624777724184148#-66.0#4.7860200582032#1
0000 0003 0000 0000 0000 0000#1624777724187027#-59.0#5.632777453116074#1
0000 0003 0000 0000 0000 0000#1624777724202115#-59.0#5.6573211457222445#1
E200 001B 2014 0195 1580 B13D#1624777724204577#-64.0#5.00077736850719#1
0000 0005 0000 0000 0000 0000#1624777724205675#-50.5#1.1596894756415448#1
0000 0001 0000 0000 0000 0000#1624777724207500#-52.0#5.651185222570702#1
0000 0004 0000 0000 0000 0000#1624777724209098#-55.5#0.9203884727313847#1
0000 0006 0000 0000 0000 0000#1624777724210451#-46.5#5.792311455056181#1
0000 0007 0000 0000 0000 0000#1624777724211992#-40.0#4.025165587411922#1
