方形标签叠放实验， 拟合出正确顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0003 0000 0000 0000 0000#1624774538198371#-53.5#1.4419419406125027#1
E200 001B 2014 0164 1580 8A56#1624774538200549#-69.5#4.884194828627882#1
0000 0002 0000 0000 0000 0000#1624774538463074#-49.0#1.5462526341887264#1
0000 0006 0000 0000 0000 0000#1624774538464200#-63.5#4.565126824747668#1
3008 33B2 DDD9 0140 2018 0626#1624774538465272#-56.5#0.39269908169872414#1
0000 0001 0000 0000 0000 0000#1624774538468123#-54.0#2.2089323345553233#1
0000 0007 0000 0000 0000 0000#1624774538469192#-44.5#6.056156150572511#1
3008 33B2 DDD9 0140 2018 0626#1624774538470247#-57.5#1.030835089459151#1
0000 0005 0000 0000 0000 0000#1624774538472786#-71.0#3.2888548092268146#1
9999 33B2 DDD9 0140 0000 0000#1624774538482212#-61.5#2.5954954931025047#1
0000 0004 0000 0000 0000 0000#1624774538484666#-51.5#3.6876898140770815#1
0000 0003 0000 0000 0000 0000#1624774538486251#-53.5#1.8775924843720249#1
E200 001B 2014 0164 1580 8A56#1624774538488287#-69.5#5.577554144752192#1
0000 0002 0000 0000 0000 0000#1624774538493869#-48.5#1.2455923997631406#1
3008 33B2 DDD9 0140 2018 0626#1624774538494954#-58.5#0.5767767762450011#1
9999 33B2 DDD9 0140 0000 0000#1624774538496251#-61.5#2.6139032625571326#1
0000 0007 0000 0000 0000 0000#1624774538498987#-44.0#5.792311455056181#1
0000 0005 0000 0000 0000 0000#1624774538500344#-70.5#3.650874275167826#1
3008 33B2 DDD9 0140 2018 0626#1624774538501417#-57.5#6.227961998815704#1
0000 0001 0000 0000 0000 0000#1624774538502516#-53.5#1.945087639038993#1
0000 0004 0000 0000 0000 0000#1624774538503871#-51.5#3.6815538909255388#1
E200 001B 2014 0164 1580 8A56#1624774538505664#-70.5#5.6573211457222445#1
0000 0006 0000 0000 0000 0000#1624774538508340#-65.5#3.4606606574700063#1
0000 0003 0000 0000 0000 0000#1624774538510910#-53.0#1.8653206380689396#1
0000 0004 0000 0000 0000 0000#1624774538774365#-51.5#3.3195344249845276#1
3008 33B2 DDD9 0140 2018 0626#1624774538776167#-58.0#5.786175531904639#1
9999 33B2 DDD9 0140 0000 0000#1624774538777255#-62.0#2.0371264863121317#1
0000 0001 0000 0000 0000 0000#1624774538778794#-53.5#1.6382914814618648#1
0000 0005 0000 0000 0000 0000#1624774538780865#-68.0#3.6754179677739964#1
0000 0007 0000 0000 0000 0000#1624774538782132#-44.5#5.50392306693368#1
0000 0002 0000 0000 0000 0000#1624774538783447#-48.5#0.9878836273983529#1
0000 0003 0000 0000 0000 0000#1624774538788727#-53.5#1.6505633277649499#1
0000 0006 0000 0000 0000 0000#1624774538790110#-65.0#2.675262494072558#1
E200 001B 2014 0164 1580 8A56#1624774538793004#-70.0#4.994641445355648#1
9999 33B2 DDD9 0140 0000 0000#1624774538798828#-62.5#2.073942025221387#1
0000 0004 0000 0000 0000 0000#1624774538799942#-51.0#3.3318062712876126#1
3008 33B2 DDD9 0140 2018 0626#1624774538802974#-58.0#5.829126993965437#1
0000 0001 0000 0000 0000 0000#1624774538804070#-53.5#1.6444274046134073#1
0000 0006 0000 0000 0000 0000#1624774538805097#-65.0#2.6813984172241008#1
0000 0002 0000 0000 0000 0000#1624774538806423#-48.5#0.9817477042468103#1
0000 0007 0000 0000 0000 0000#1624774538807481#-44.5#5.516194913236766#1
0000 0003 0000 0000 0000 0000#1624774538808824#-54.0#1.6137477888556946#1
E200 001B 2014 0164 1580 8A56#1624774538810002#-70.0#4.847379289718626#1
0000 0005 0000 0000 0000 0000#1624774538811072#-67.0#3.7429131224409646#1
0000 0002 0000 0000 0000 0000#1624774539075368#-50.0#1.4480778637640452#1
0000 0001 0000 0000 0000 0000#1624774539076567#-53.5#2.0800779483729293#1
0000 0003 0000 0000 0000 0000#1624774539077624#-54.5#1.9880391010997909#1
0000 0007 0000 0000 0000 0000#1624774539079441#-44.0#5.988660995905543#1
E200 001B 2014 0164 1580 8A56#1624774539080565#-70.0#5.835262917116979#1
0000 0006 0000 0000 0000 0000#1624774539081646#-64.0#4.246058820867455#1
0000 0004 0000 0000 0000 0000#1624774539082758#-52.5#3.9269908169872414#1
3008 33B2 DDD9 0140 2018 0626#1624774539092635#-57.5#6.007068765360171#1
0000 0005 0000 0000 0000 0000#1624774539094064#-69.5#4.221515128261284#1
9999 33B2 DDD9 0140 0000 0000#1624774539096757#-62.0#2.313243028131547#1
0000 0006 0000 0000 0000 0000#1624774539101869#-66.0#3.4177091954092087#1
0000 0005 0000 0000 0000 0000#1624774539103993#-69.5#4.381049130201391#1
3008 33B2 DDD9 0140 2018 0626#1624774539105142#-58.0#6.007068765360171#1
0000 0007 0000 0000 0000 0000#1624774539106183#-44.0#5.792311455056181#1
0000 0003 0000 0000 0000 0000#1624774539107270#-55.5#1.6935147898257479#1
0000 0004 0000 0000 0000 0000#1624774539109820#-52.0#3.6140587362585705#1
0000 0001 0000 0000 0000 0000#1624774539111133#-52.5#1.7671458676442586#1
9999 33B2 DDD9 0140 0000 0000#1624774539112365#-62.0#2.3316507975861747#1
0000 0002 0000 0000 0000 0000#1624774539114521#-50.0#1.1106020904292042#1
E200 001B 2014 0164 1580 8A56#1624774539115844#-70.5#5.240078371417351#1
0000 0003 0000 0000 0000 0000#1624774539383107#-63.0#2.2027964114037806#1
0000 0007 0000 0000 0000 0000#1624774539384206#-43.0#6.062292073724054#1
0000 0002 0000 0000 0000 0000#1624774539385281#-53.5#1.1780972450961724#1
0000 0001 0000 0000 0000 0000#1624774539387191#-68.5#0.3129320807286708#1
0000 0005 0000 0000 0000 0000#1624774539388513#-57.5#5.3198453723874035#1
E200 001B 2014 0164 1580 8A56#1624774539389794#-70.0#4.657165672020807#1
0000 0004 0000 0000 0000 0000#1624774539391513#-50.0#4.23378697456437#1
