长条形标签叠放实验， 拟合出正确顺序
peed   : 2
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 0011 2000 0000 0000 0000#1624798113044055#-61.5#2.8102528034064944#1
0000 0015 2000 0000 0000 0000#1624798113045121#-64.0#4.289010282928253#1
0000 000F 2000 0000 0000 0000#1624798113046168#-53.5#6.056156150572511#1
0000 0012 2000 0000 0000 0000#1624798113047937#-60.5#0.2761165418194154#1
0000 0010 2000 0000 0000 0000#1624798113051875#-56.5#4.81056375080937#1
3008 33B2 DDD9 0140 2018 0626#1624798113053216#-56.0#5.540738605842936#1
0000 0014 2000 0000 0000 0000#1624798113060273#-53.0#4.914874444385594#1
0000 0013 2000 0000 0000 0000#1624798113061369#-53.5#5.184855063053467#1
0000 0014 2000 0000 0000 0000#1624798113066166#-53.0#4.908738521234052#1
3008 33B2 DDD9 0140 2018 0626#1624798113068614#-56.0#5.534602682691394#1
0000 0011 2000 0000 0000 0000#1624798113069692#-62.0#2.8409324191642074#1
0000 000F 2000 0000 0000 0000#1624798113078675#-53.5#0.28225246497095796#1
0000 0010 2000 0000 0000 0000#1624798113079758#-56.5#5.264622064023521#1
0000 0013 2000 0000 0000 0000#1624798113081320#-53.0#5.589825991055276#1
3008 33B2 DDD9 0140 2018 0626#1624798113082654#-55.5#5.325981295538946#1
0000 0015 2000 0000 0000 0000#1624798113083704#-63.0#4.651029748869264#1
0000 0012 2000 0000 0000 0000#1624798113085089#-60.5#0.6381360077604268#1
0000 0014 2000 0000 0000 0000#1624798113347679#-52.5#5.037592907416445#1
0000 0011 2000 0000 0000 0000#1624798113349237#-62.5#2.8838838812250054#1
0000 0013 2000 0000 0000 0000#1624798113350246#-53.0#5.283029833478148#1
E200 001B 2014 0201 1580 B140#1624798113351337#-62.0#4.270602513473625#1
0000 000F 2000 0000 0000 0000#1624798113354334#-53.5#0.04908738521234052#1
0000 0015 2000 0000 0000 0000#1624798113356727#-63.5#4.399456899656019#1
0000 0010 2000 0000 0000 0000#1624798113358251#-57.0#5.006913291658733#1
3008 33B2 DDD9 0140 2018 0626#1624798113361790#-57.0#5.123495831538041#1
3008 33B2 DDD9 0140 2018 0626#1624798113363129#-56.5#5.829126993965437#1
0000 0012 2000 0000 0000 0000#1624798113364318#-60.5#0.3190680038802134#1
0000 0010 2000 0000 0000 0000#1624798113370133#-56.5#5.056000676871073#1
3008 33B2 DDD9 0140 2018 0626#1624798113371521#-56.5#5.086680292628786#1
3008 33B2 DDD9 0140 2018 0626#1624798113372861#-56.5#5.816855147662351#1
0000 000F 2000 0000 0000 0000#1624798113373924#-54.0#6.277049384028044#1
0000 0012 2000 0000 0000 0000#1624798113375225#-60.5#0.3190680038802134#1
0000 0013 2000 0000 0000 0000#1624798113376262#-53.0#5.295301679781233#1
0000 0015 2000 0000 0000 0000#1624798113377539#-63.5#4.411728745959104#1
0000 0014 2000 0000 0000 0000#1624798113379316#-52.5#5.031456984264903#1
E200 001B 2014 0201 1580 B140#1624798113381320#-61.5#4.331961744989051#1
