长条形标签叠放实验， 拟合出正确顺序
speed   : 2.5
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
3008 33B2 DDD9 0140 2018 0626#1624798409280603#-57.5#3.06182565261974#1
0000 000F 2000 0000 0000 0000#1624798409282234#-49.5#4.681709364626977#1
E200 001B 2014 0201 1580 B140#1624798409284180#-63.0#1.5830681730979816#1
0000 0012 2000 0000 0000 0000#1624798409285723#-56.5#5.64504929941916#1
0000 000F 2000 0000 0000 0000#1624798409554688#-48.5#5.135767677841127#1
0000 0013 2000 0000 0000 0000#1624798409556692#-50.0#4.841243366567084#1
0000 0010 2000 0000 0000 0000#1624798409557666#-52.5#4.049709280018092#1
0000 0015 2000 0000 0000 0000#1624798409558986#-56.5#4.09266074207889#1
0000 0014 2000 0000 0000 0000#1624798409562616#-45.0#4.479223900626073#1
E200 001B 2014 0164 1580 8A56#1624798409565239#-63.5#5.816855147662351#1
0000 0011 2000 0000 0000 0000#1624798409567266#-57.0#2.061670178918302#1
E200 001B 2014 0201 1580 B140#1624798409570990#-64.0#2.325514874434632#1
3008 33B2 DDD9 0140 2018 0626#1624798409572205#-56.0#3.6815538909255388#1
0000 0012 2000 0000 0000 0000#1624798409574382#-55.5#6.062292073724054#1
0000 0014 2000 0000 0000 0000#1624798409578169#-45.5#4.485359823777615#1
0000 000F 2000 0000 0000 0000#1624798409579474#-48.5#5.123495831538041#1
0000 0012 2000 0000 0000 0000#1624798409580519#-56.0#6.056156150572511#1
E200 001B 2014 0164 1580 8A56#1624798409582382#-64.5#5.816855147662351#1
0000 0010 2000 0000 0000 0000#1624798409590105#-51.0#4.06811704947272#1
0000 0013 2000 0000 0000 0000#1624798409591414#-49.5#4.841243366567084#1
3008 33B2 DDD9 0140 2018 0626#1624798409592829#-56.0#3.6447383520162835#1
0000 0015 2000 0000 0000 0000#1624798409593881#-56.5#4.111068511533518#1
0000 0011 2000 0000 0000 0000#1624798409595053#-57.0#2.141437179888355#1
E200 001B 2014 0201 1580 B140#1624798409596277#-64.5#2.2457478734645786#1
0000 0011 2000 0000 0000 0000#1624798409859753#-57.5#1.7855536370988863#1
0000 0010 2000 0000 0000 0000#1624798409860809#-52.5#3.7551849687440497#1
E200 001B 2014 0201 1580 B140#1624798409862127#-64.0#1.88986433067511#1
0000 0015 2000 0000 0000 0000#1624798409863961#-57.0#3.792000507653305#1
3008 33B2 DDD9 0140 2018 0626#1624798409865749#-57.5#3.2581751934691017#1
0000 0014 2000 0000 0000 0000#1624798409867296#-45.5#4.184699589352029#1
0000 0013 2000 0000 0000 0000#1624798409868590#-50.0#4.565126824747668#1
0000 0012 2000 0000 0000 0000#1624798409869636#-56.0#5.767767762450011#1
0000 000F 2000 0000 0000 0000#1624798409873030#-49.0#4.841243366567084#1
E200 001B 2014 0164 1580 8A56#1624798409879725#-64.0#5.632777453116074#1
E200 001B 2014 0164 1580 8A56#1624798409885107#-64.0#5.473243451175968#1
0000 0014 2000 0000 0000 0000#1624798409886160#-45.5#4.184699589352029#1
0000 0013 2000 0000 0000 0000#1624798409887269#-50.0#4.565126824747668#1
E200 001B 2014 0201 1580 B140#1624798409888632#-63.0#1.7241944055834606#1
0000 000F 2000 0000 0000 0000#1624798409890204#-49.0#4.816699673960914#1
0000 0011 2000 0000 0000 0000#1624798409891749#-57.5#1.8653206380689396#1
0000 0010 2000 0000 0000 0000#1624798409893320#-52.5#3.730641276137879#1
0000 0012 2000 0000 0000 0000#1624798409896300#-56.0#5.810719224510809#1
0000 0015 2000 0000 0000 0000#1624798409898727#-56.5#3.7551849687440497#1
3008 33B2 DDD9 0140 2018 0626#1624798409903079#-57.5#3.2336315008629315#1
0000 0013 2000 0000 0000 0000#1624798410167049#-50.0#4.724660826687775#1
0000 000F 2000 0000 0000 0000#1624798410168797#-48.5#4.994641445355648#1
0000 0011 2000 0000 0000 0000#1624798410170711#-57.5#1.9634954084936207#1
E200 001B 2014 0201 1580 B140#1624798410171804#-64.0#2.3071071049800045#1
0000 0010 2000 0000 0000 0000#1624798410173600#-52.5#3.8840393549264434#1
3008 33B2 DDD9 0140 2018 0626#1624798410174917#-57.0#3.4606606574700063#1
0000 0014 2000 0000 0000 0000#1624798410176924#-45.0#4.331961744989051#1
E200 001B 2014 0164 1580 8A56#1624798410178890#-65.0#5.577554144752192#1
0000 0012 2000 0000 0000 0000#1624798410179949#-56.0#5.896622148632405#1
0000 0015 2000 0000 0000 0000#1624798410181846#-56.5#3.9085830475326135#1
0000 0010 2000 0000 0000 0000#1624798410189189#-52.5#3.8840393549264434#1
0000 000F 2000 0000 0000 0000#1624798410191999#-48.5#4.994641445355648#1
0000 0014 2000 0000 0000 0000#1624798410193010#-45.0#4.313553975534423#1
0000 0013 2000 0000 0000 0000#1624798410194291#-50.0#4.706253057233147#1
3008 33B2 DDD9 0140 2018 0626#1624798410196080#-56.5#3.454524734318464#1
0000 0015 2000 0000 0000 0000#1624798410198381#-56.5#3.9515345095934116#1
0000 0012 2000 0000 0000 0000#1624798410199526#-55.5#5.945709533844745#1
0000 0011 2000 0000 0000 0000#1624798410202616#-57.0#2.000310947402876#1
E200 001B 2014 0164 1580 8A56#1624798410203841#-64.0#5.620505606812989#1
E200 001B 2014 0201 1580 B140#1624798410205218#-63.5#2.067806102069844#1
0000 000F 2000 0000 0000 0000#1624798410467453#-49.0#4.669437518323892#1
0000 0014 2000 0000 0000 0000#1624798410468590#-46.0#4.01902966426038#1
0000 0015 2000 0000 0000 0000#1624798410469870#-57.0#3.6386024288647407#1
E200 001B 2014 0164 1580 8A56#1624798410472689#-64.0#5.141903600992669#1
0000 0010 2000 0000 0000 0000#1624798410473991#-52.0#3.6447383520162835#1
0000 0013 2000 0000 0000 0000#1624798410477522#-50.0#4.405592822807561#1
3008 33B2 DDD9 0140 2018 0626#1624798410479969#-57.0#2.9943304979527716#1
0000 0011 2000 0000 0000 0000#1624798410481782#-57.5#1.748738098189631#1
E200 001B 2014 0201 1580 B140#1624798410483583#-64.0#1.6505633277649499#1
0000 0012 2000 0000 0000 0000#1624798410487451#-56.5#5.602097837358362#1
0000 0013 2000 0000 0000 0000#1624798410493027#-50.0#4.387185053352934#1
0000 000F 2000 0000 0000 0000#1624798410494377#-49.0#4.663301595172349#1
0000 0010 2000 0000 0000 0000#1624798410496519#-52.0#3.6017868899554855#1
E200 001B 2014 0164 1580 8A56#1624798410498496#-63.0#5.190990986205009#1
0000 0011 2000 0000 0000 0000#1624798410499628#-57.5#1.7241944055834606#1
3008 33B2 DDD9 0140 2018 0626#1624798410500959#-57.5#2.988194574801229#1
0000 0014 2000 0000 0000 0000#1624798410502026#-46.0#4.01902966426038#1
0000 0015 2000 0000 0000 0000#1624798410503103#-57.0#3.5465635815916023#1
0000 0012 2000 0000 0000 0000#1624798410505061#-56.5#5.602097837358362#1
E200 001B 2014 0201 1580 B140#1624798410506378#-63.0#1.7303303287350031#1
0000 0012 2000 0000 0000 0000#1624798410776104#-56.0#6.086835766330224#1
0000 0015 2000 0000 0000 0000#1624798410777139#-56.5#4.0558452031696355#1
E200 001B 2014 0164 1580 8A56#1624798410778235#-65.0#5.829126993965437#1
