FFFF FFFF FFFF FFFF FFFF FFFF#1626597746278805#-68.0#0.018407769454627694#9
0000 0035 2000 0000 0000 0000#1626597746279851#-46.0#4.9823695990525625#9
0000 0036 2000 0000 0000 0000#1626597746282012#-47.0#4.828971520263998#9
0000 0031 2000 0000 0000 0000#1626597746283399#-50.5#1.4848934026733007#9
0000 0037 2000 0000 0000 0000#1626597746284945#-45.5#4.374913207049849#9
0000 0039 2000 0000 0000 0000#1626597746286102#-44.5#3.693825737228624#9
0000 0034 2000 0000 0000 0000#1626597746287164#-49.5#5.798447378207723#9
0000 0032 2000 0000 0000 0000#1626597746288209#-50.0#1.1228739367322893#9
0000 002D 2000 0000 0000 0000#1626597746289989#-51.5#3.442252888015379#9
0000 002E 2000 0000 0000 0000#1626597746291426#-50.5#3.141592653589793#9
0000 0033 2000 0000 0000 0000#1626597746292461#-49.5#0.39269908169872414#9
0000 002F 2000 0000 0000 0000#1626597746293606#-50.5#2.7120780329818137#9
0000 003B 2000 0000 0000 0000#1626597746296878#-65.0#4.313553975534423#9
0000 0035 2000 0000 0000 0000#1626597746301394#-46.5#4.970097752749477#9
0000 002F 2000 0000 0000 0000#1626597746302727#-51.0#2.7120780329818137#9
0000 002D 2000 0000 0000 0000#1626597746303779#-51.5#3.4606606574700063#9
0000 0038 2000 0000 0000 0000#1626597746305092#-44.5#4.123340357836604#9
0000 0033 2000 0000 0000 0000#1626597746306168#-50.0#0.4049709280018093#9
0000 0034 2000 0000 0000 0000#1626597746307699#-49.5#5.773903685601553#9
0000 0030 2000 0000 0000 0000#1626597746308752#-50.5#2.442097414313941#9
0000 0037 2000 0000 0000 0000#1626597746309830#-46.0#4.362641360746763#9
FFFF FFFF FFFF FFFF FFFF FFFF#1626597746311096#-67.5#0.34974761963792617#9
0000 0031 2000 0000 0000 0000#1626597746312158#-50.5#1.5155730184310134#9
0000 003A 2000 0000 0000 0000#1626597746313264#-45.0#3.043417883165112#9
0000 0036 2000 0000 0000 0000#1626597746316491#-46.5#4.841243366567084#9
0000 0039 2000 0000 0000 0000#1626597746318555#-44.5#3.6999616603801666#9
0000 003B 2000 0000 0000 0000#1626597746319951#-65.0#4.325825821837508#9
0000 0032 2000 0000 0000 0000#1626597746321024#-50.0#1.1290098598838318#9
0000 002E 2000 0000 0000 0000#1626597746325720#-51.0#3.1354567304382504#9
0000 0031 2000 0000 0000 0000#1626597746590165#-50.5#1.1044661672776617#9
0000 002E 2000 0000 0000 0000#1626597746592200#-50.5#2.730485802436441#9
0000 0032 2000 0000 0000 0000#1626597746593834#-51.0#0.7669903939428205#9
0000 0037 2000 0000 0000 0000#1626597746595140#-46.5#4.01902966426038#9
0000 002D 2000 0000 0000 0000#1626597746596441#-52.0#3.055689729468197#9
0000 0033 2000 0000 0000 0000#1626597746598228#-50.5#6.277049384028044#9
FFFF FFFF FFFF FFFF FFFF FFFF#1626597746599507#-69.0#5.896622148632405#9
0000 0035 2000 0000 0000 0000#1626597746600637#-47.0#4.614214209960009#9
0000 002F 2000 0000 0000 0000#1626597746601697#-51.5#2.325514874434632#9
0000 0034 2000 0000 0000 0000#1626597746602706#-50.0#5.473243451175968#9
0000 0038 2000 0000 0000 0000#1626597746603800#-45.0#3.7429131224409646#9
0000 0036 2000 0000 0000 0000#1626597746604878#-47.0#4.479223900626073#9
