FFFF FFFF FFFF FFFF FFFF FFFF#1626598116733070#-68.5#0.34974761963792617#9
0000 002F 2000 0000 0000 0000#1626598116741978#-50.5#2.448233337465483#9
0000 0034 2000 0000 0000 0000#1626598116743040#-48.0#5.66959299202533#9
0000 0038 2000 0000 0000 0000#1626598116745083#-45.5#4.135612204139688#9
0000 003A 2000 0000 0000 0000#1626598116746847#-47.5#2.564815877344792#9
0000 0037 2000 0000 0000 0000#1626598116748665#-45.5#4.3933209765044765#9
0000 0033 2000 0000 0000 0000#1626598116750547#-47.0#0.0859029241215959#9
0000 0036 2000 0000 0000 0000#1626598116752391#-46.0#4.7860200582032#9
0000 0030 2000 0000 0000 0000#1626598116753420#-49.5#2.1230294104337273#9
0000 002E 2000 0000 0000 0000#1626598116754506#-50.0#3.0066023442558567#9
0000 0032 2000 0000 0000 0000#1626598116755864#-49.5#0.7976700097005334#9
0000 0039 2000 0000 0000 0000#1626598116757416#-45.5#3.5711072741977725#9
0000 0035 2000 0000 0000 0000#1626598116758465#-45.0#4.95168998329485#9
0000 0031 2000 0000 0000 0000#1626598116759528#-49.5#1.1719613219446299#9
0000 002D 2000 0000 0000 0000#1626598116763118#-51.5#3.436116964863836#9
0000 0033 2000 0000 0000 0000#1626598116768343#-47.5#0.09203884727313846#9
FFFF FFFF FFFF FFFF FFFF FFFF#1626598116769366#-68.5#6.154330920997192#9
0000 0039 2000 0000 0000 0000#1626598116770950#-45.5#3.56497135104623#9
0000 0037 2000 0000 0000 0000#1626598116772510#-45.5#4.399456899656019#9
0000 003A 2000 0000 0000 0000#1626598116774329#-47.5#2.564815877344792#9
0000 002F 2000 0000 0000 0000#1626598116776328#-50.5#2.454369260617026#9
0000 0034 2000 0000 0000 0000#1626598116778330#-47.5#5.651185222570702#9
0000 002E 2000 0000 0000 0000#1626598116779630#-50.0#3.043417883165112#9
0000 0036 2000 0000 0000 0000#1626598116780907#-45.5#4.792155981354743#9
0000 0030 2000 0000 0000 0000#1626598116782220#-49.5#2.116893487282185#9
0000 0032 2000 0000 0000 0000#1626598116783547#-49.5#0.7853981633974483#9
0000 0038 2000 0000 0000 0000#1626598116785215#-45.5#4.166291819897402#9
0000 002D 2000 0000 0000 0000#1626598116788363#-51.5#3.423845118560751#9
0000 0035 2000 0000 0000 0000#1626598116790761#-45.5#4.957825906446392#9
0000 0031 2000 0000 0000 0000#1626598116791840#-49.5#1.1596894756415448#9
0000 003A 2000 0000 0000 0000#1626598117054587#-48.5#2.2764274892222915#9
0000 0034 2000 0000 0000 0000#1626598117055578#-47.5#5.313709449235861#9
0000 0036 2000 0000 0000 0000#1626598117057150#-46.0#4.454680208019902#9
0000 0032 2000 0000 0000 0000#1626598117060293#-49.5#0.4356505437595221#9
0000 0038 2000 0000 0000 0000#1626598117061372#-46.5#3.7981364308048478#9
0000 0031 2000 0000 0000 0000#1626598117062437#-50.5#0.8344855486097889#9
0000 0037 2000 0000 0000 0000#1626598117064422#-46.5#4.080388895775806#9
0000 0039 2000 0000 0000 0000#1626598117065736#-46.5#3.2459033471660166#9
0000 002E 2000 0000 0000 0000#1626598117066791#-49.5#2.6691265709210157#9
0000 0030 2000 0000 0000 0000#1626598117067848#-49.5#1.8039614065535141#9
0000 0035 2000 0000 0000 0000#1626598117068910#-46.0#4.657165672020807#9
0000 0033 2000 0000 0000 0000#1626598117070543#-49.0#6.068427996875596#9
0000 002D 2000 0000 0000 0000#1626598117071624#-52.5#3.031146036862027#9
0000 002F 2000 0000 0000 0000#1626598117073196#-50.5#2.1230294104337273#9
FFFF FFFF FFFF FFFF FFFF FFFF#1626598117075146#-67.5#5.43029198911517#9
0000 0036 2000 0000 0000 0000#1626598117081401#-46.0#4.454680208019902#9
0000 0032 2000 0000 0000 0000#1626598117083303#-49.5#0.46019423636569234#9
0000 0035 2000 0000 0000 0000#1626598117084881#-46.0#4.6448938257177215#9
0000 0030 2000 0000 0000 0000#1626598117085965#-49.5#1.7978254834019713#9
0000 002D 2000 0000 0000 0000#1626598117087003#-52.0#3.0127382674073995#9
0000 0038 2000 0000 0000 0000#1626598117088026#-46.0#3.785864584501762#9
0000 0037 2000 0000 0000 0000#1626598117089346#-46.0#4.061981126321178#9
0000 0033 2000 0000 0000 0000#1626598117091117#-48.5#6.037748381117884#9
0000 0031 2000 0000 0000 0000#1626598117092184#-50.0#0.8283496254582462#9
0000 002E 2000 0000 0000 0000#1626598117094444#-49.5#2.6568547246179306#9
0000 002F 2000 0000 0000 0000#1626598117095592#-50.5#2.1046216409791#9
FFFF FFFF FFFF FFFF FFFF FFFF#1626598117096643#-67.5#5.491651220630596#9
0000 0034 2000 0000 0000 0000#1626598117098644#-48.0#5.313709449235861#9
0000 0039 2000 0000 0000 0000#1626598117099840#-46.5#3.2520392703175593#9
0000 003A 2000 0000 0000 0000#1626598117100947#-49.0#2.2886993355253766#9
0000 0035 2000 0000 0000 0000#1626598117364858#-46.0#4.28287435977671#9
0000 0031 2000 0000 0000 0000#1626598117366415#-50.0#0.4295146206079795#9
FFFF FFFF FFFF FFFF FFFF FFFF#1626598117368307#-68.5#5.049864753719531#9
0000 0039 2000 0000 0000 0000#1626598117369801#-46.5#2.859340188618835#9
0000 0036 2000 0000 0000 0000#1626598117370879#-46.5#4.0987966652304335#9
0000 0038 2000 0000 0000 0000#1626598117372432#-46.0#3.423845118560751#9
0000 002E 2000 0000 0000 0000#1626598117373489#-50.0#2.2457478734645786#9
0000 002F 2000 0000 0000 0000#1626598117374525#-50.5#1.7119225592803755#9
0000 003A 2000 0000 0000 0000#1626598117376534#-48.0#1.932815792735908#9
0000 0034 2000 0000 0000 0000#1626598117377591#-48.0#4.988505522204105#9
0000 0032 2000 0000 0000 0000#1626598117378997#-50.0#0.03681553890925539#9
0000 0030 2000 0000 0000 0000#1626598117380922#-50.0#1.4051264017032472#9
0000 0037 2000 0000 0000 0000#1626598117381985#-46.5#3.6692820446224537#9
0000 002D 2000 0000 0000 0000#1626598117383409#-52.0#2.5954954931025047#9
0000 0033 2000 0000 0000 0000#1626598117384440#-49.0#5.651185222570702#9
0000 003A 2000 0000 0000 0000#1626598117388204#-48.5#1.945087639038993#9
0000 0037 2000 0000 0000 0000#1626598117389786#-46.5#3.663146121470911#9
0000 0032 2000 0000 0000 0000#1626598117391060#-50.0#0.01227184630308513#9
0000 002D 2000 0000 0000 0000#1626598117392170#-51.5#2.5954954931025047#9
0000 0039 2000 0000 0000 0000#1626598117394606#-46.5#2.84706834231575#9
0000 0036 2000 0000 0000 0000#1626598117396917#-46.5#4.086524818927348#9
0000 0035 2000 0000 0000 0000#1626598117398451#-46.0#4.276738436625168#9
0000 002E 2000 0000 0000 0000#1626598117399521#-49.5#2.2334760271614935#9
0000 0033 2000 0000 0000 0000#1626598117401265#-48.5#5.651185222570702#9
0000 0034 2000 0000 0000 0000#1626598117402453#-46.5#4.957825906446392#9
FFFF FFFF FFFF FFFF FFFF FFFF#1626598117403549#-67.5#4.945554060143307#9
0000 0031 2000 0000 0000 0000#1626598117406229#-50.0#0.44178646691106466#9
0000 0030 2000 0000 0000 0000#1626598117408144#-50.0#1.3867186322486196#9
0000 0038 2000 0000 0000 0000#1626598117410107#-46.0#3.399301425954581#9
0000 002F 2000 0000 0000 0000#1626598117411995#-50.5#1.6996507129772904#9
0000 0033 2000 0000 0000 0000#1626598117674792#-48.5#5.829126993965437#9
0000 0032 2000 0000 0000 0000#1626598117676094#-49.5#0.17794177139473438#9
